,label,review
0,8,"It's hard to nail down what type of movie Parasite is, but this drama/thriller/comedy is definitely worth seeing. Bong Joon-ho tells this story in a way that keeps you engaged and keeps you guessing, with protagonists you can't fully like and antagonists you don't really hate. Even though I may not agree with every decision this film makes, I enjoyed the journey and I'll be thinking about it for a very long time."
1,8,"When it comes to foreign films I tend to be a little biased or lenient. They are such a welcome break from traditional Hollywood. When I see a decent foreign film I can't help but want to praise it more because they don't have the multi-billion dollar Hollywood machine behind them. Usually, they have to be more creative, more ingenious, and more resourceful.""Parasite"" is one of very few Korean films I've watched in my life. My foreign film bank consists mostly of Chinese kung-fu movies of which Jackie Chan and Jet Li probably occupy the most space. Korean films are a rarity for me. This suspenseful thriller by Bong Joon-Ho deserves all of the accolades it has received.What I knew about it going in was that a poor family had moved in on a wealthy family to take advantage of them. That is essentially what happened, but you're not holding anyone's attention with that concept alone. Each character in this film had something to offer and was watchable. As the movie developed and we saw the Kim family sinking its teeth deeper into the Park family, we were treated with wonderful dialogue and a crafty script.How do you make a movie in which none of the characters are antagonists and none are really protagonists either? Some how ""Parasite"" did that. The Kim family certainly was shady and underhanded, but they could be viewed as a poor family just trying to get ahead. The Park family was wealthy, yet unlike your average rich movie family, they were not cruel or unbearable people. In fact they were very likeable.Normally, we want our clear-cut good guys and bad guys. We want our good guys to win and our bad guys to lose. In the cases where all of our guys are good, we want them all to win. In the cases where all our guys are bad, we want them all to lose. In ""Parasite"" not everyone is distinctly good or bad and there are really no winners."
2,9,"This cinematographic gem has been recently rewarded by the prestigious Palme d'Or at the Cannes Festival. If I have one and only one advice to give you: go savor this fabulous movie with a strict minimum of information! Indeed, this film might schematically be split in two parts, the second one being quite surprising and unpredictable. The script is excellent and the casting is globally sumptuous, especially the gorgeous Cho Yeo-jeong for whom I may confess I have a crush.As a postscript, an anecdote certainly insignificant but literally astonishing when you're French: in the middle of the film, the proletarian family gives itself up to an orgy, the coffee table being covered with manifold dishes including two French cheeses as industrial as cheap: « Le rustique » and « Bresse bleu ». Unbelievable!"
3,7,"I tried to watch this movie once, and faded out after the first ten minutes. It's surprising too, as the first scenes with the slacker family were very, very funny and entertaining. It reminded me of the beginning of Old Boy in a way. Upon my second viewing, I was stunned. Fully engrossed, and entertained all the way through. This is perhaps the best film of the year (I haven't seen Little Women or 1917 yet).The story is about a slacker family who stealthy make their way into the lives of a rich family by becoming their employees. The rich family doesn't know they are related. The poor family discover a man living in the basement, who happens to be the former maids husband. Violence ensues, and the movie just becomes more detailed, fun, thrilling, and entertaining all the way through.Usually movies tend to drop out near the end, or close to the climax. I find I usually get bored at this point. This film doesn't do that. It almost reminds me of Fight Club with its dark humor and thrills. In fact, that's the only movie that comes to mind, though they are very different films. Parasite does have its own take on class, which is very prevalent. It seems the rich and poor are very similar, with the middle class not even being presented in the movie.Overall, this is a tremendous movie. I'm glad I gave it a second chance. Probably the best movie of the year.7 stars"
4,10,"Maybe it's just me, but I have known a decline in film quality since 2017. 2016 was a very good year for film--the last great year altogether. Have I simply seen too many films? In 2016 and earlier, There were a whole bunch of films that I could say ""now that is one of the very best films I have ever seen."" Since 2017, the most that I could say about I film I love would have been ""I love this film. But I don't adore it...One of the best of the year, not ever."" Finally near the end of the decade comes a film I can comfortably say is one of the finest motion pictures I have ever laid eyes on.The movie is Korean so there are subtitles and it does run over two hours. But throughout that duration, time stands still. We are fully immersed in this tale of Shakespearean portions and Hitchcockian brains.'Parasite' follows two families: the dirt poor Kims and the filthy rich Parks. Being on opposite ends of the social spectrum, many people interpret this as a social satirical film. I can see where they are coming from, but I didn't care about that. Many different themes such as identity are also looked at, but that is all just icing on the cake. Placing them on opposite ends of the spectrum just makes the story and characters another relationships all the more great.it is sad seeing the Kims in such bad living conditions, so we root for them right away to get out of the slums. Ki-woo is the son who aspires to get out of poverty by attending university. He is approached by one of his university friends who is going overseas to study to take over tutoring Park Da-hye in english. Ki-woo does not know English well, but figures he can fake it and make some money. he may be just a tutor, but it pays well. He finds out that the Parks are looking for a therapist for their son, so Ki-woo gets his sister to assume a new identity and be the boy's therapist. With more money coming and only two more people in the Kim family in need of a good job, it all seems like a sinch to get them in. But getting rid of people in their way and keeping their true identities under wraps from the Parks will be harder than they could fathom.'Parasite' could be simplified as ""family vs family"" but there are a couple of more characters other than the regular family members that are all so interesting. Most movies cannot handle developing these many characters. They are smart, sympathetic, even likeable.The reason I call this film ""Hitchcockian"" is because of its power to thrill us and take the viewer to places they could never imagine. Even when a movie is unpredictable, the payoffs are plausible and the viewer is able to tie things together easily. But with this, each time a twist comes (which is frequent) the viewer is still left flabbergasted and completely caught off guard. The director really pulls out the rug from underneath.Watching this movie was such a breath of fresh air and director, Bong Joon-Ho could easily have messed up at any moment. But there is not one second of wasted or subpar material. In fact, it it just the opposite: the movie keeps building and just gets better by the minute. The thrills get stronger and stronger as the twists get smarter and more intricate. With all that happens 'Parasite' becomes an imservie film experience that you will never forget.4/4"
5,8,"Looks like a few people failed to grasp the films message. It's a more cerebral watch than their intellect can handle. Ha ha.A dark dramatic black comedy film with a strong social commentary.Hugely enjoyable and well deserving of its many accolades.See it now before Hollywood tries to remake it and ruins its excellence.
A fabulous director."
6,8,"This film's ranking here on IMDb is somewhat of an anomaly. Usually, when a hot new release makes it's way into the Top 250, it manages to remain in it's general range for a while and then slowly decline as more and more reviewers add their vote. ""Parasite"" entered the list in the mid Fifties if I correctly recall, and since then has managed to improve it's position to #26 as I write this. No one knows if that will hold obviously, so I'm curious to see how the movie rates over time.Having stated that, I thought the film was brilliant in the way it opened and had the Kim family maneuver it's way into the life and home of the Park family. What was questionable to me was why the Kim's weren't able to improve their condition in life prior to the break they received when Min (Seo-joon Park) suggested the tutoring job to Ki-woo (Woo-sik Choi). Each of the Kim's demonstrated a cleverness and facility at their respective talent in such a way that none of them should have remained unemployed for very long. It's not sufficient or accurate to say that they were lazy or lacked ambition, because once that ambition kicked into gear, there was no stopping them from infiltrating into the lives of the Park's. Not that it wasn't done by underhanded or devious means, but with those kinds of street smarts, they should never have been living in a ghetto neighborhood. But that was the set up, so you have to go with it.Where the story begins to go off the rails is when the Kim's luxuriate in their new surroundings and throw caution to the wind so to speak. Personally, I would never have allowed the former housekeeper Moon-gwang (Jeong-eun Lee) unescorted access to the Park home when she came calling to rescue her husband. Though it revealed the hidden areas of the Park home, they would have been discovered by the Kim's had they followed and observed Moon-gwang to begin with. Instead, the lapse in judgment allowed for a potential escape and as it turned out, a blackmail attempt that would have fired all the Kim's from their lucrative positions.I have to admit, I was somewhat baffled by Mr. Kim's (Kang-ho Song) stabbing of Park Dong-ik (Sun-kyun Lee), but reading some of the more thoughtful reviews here helped put that into perspective. I can't say that I agree wholeheartedly, but at least the reasons offer some semblance of a motive, all revolving around the idea of 'crossing the line' that the Kim's were guilty of. Even so, by giving the story a Tarantino-esque spin for it's denouement was going more than a bit over the top. And to venture even further into the realm of unreality, Ki-woo's survival after getting smacked in the head by a twenty pound landscape stone, not once but twice!, was entirely incomprehensible to this viewer.As for the ultimate finale, who's to say that Kim-woo's plan to rescue his dad wasn't a viable one - grow up, get rich and buy the house! Good luck with that idea, because in the very words of Mr. Kim himself - """"If you make a plan, life never works out that way"". And on top of that, it would be a decade long mission at the very least. In the final analysis, if the story had kept on track with the devious infiltration into the lives of the Park's, I could envision a scenario in which the parasites might have eventually dominated their hosts in their own home. But it didn't turn out that way, and as a result, I think it misses the mark as the year's Best Picture at the Oscars.Addendum**** 2-10-2020 - Well, I'm not embarrassed to admit I was wrong about the picture's chances at the Oscars. It won 'Best Picture' last night in a pretty competitive field. Congratulations!"
7,9,"Directed by Bong Joon-ho. Starring Song Kang-ho, Choi Woo-shik, Chang Hyae-jin, Park So-dam, Cho Yeo-jeong, Lee Sun-kyun, Lee Jung-eun, Jeong Ji-so, Park Myung-hoon, Jung Hyeon-jun, Park Seo-joon, Park Geun-rok. (R)Teen-aged Choi, from a lower-class, unemployed family, deceives his way into a position as tutor for the daughter within the prosperous Park family; soon, the rest of his family begins ingratiating (and insinuating) themselves into the Park's lives. To tell more would spoil the pleasures of this deliciously demented parable on class, greed, prejudice and more. As expected from a Bong Joon-ho film, the tone boldly changes at will (mostly between hysterical satire and nerve-wracking thriller), but the transitions are more fluid than ever before for the talented filmmaker--or perhaps it's just because the story and technique is so gripping. Meticulously designed and flawlessly performed by its cast (the first foreign-language group to ever score the ensemble cast award from the Screen Actors Guild), its audacious tangle of ideas and statements packaged with artful, precise elegance. Some of the metaphors come off as shopworn in their exactness, but the film is so otherwise ingeniously constructed that it takes effort to recall in the aftermath exactly how the incidents all piled up. Amusing scriptwriting workshop exercise idea: present the first twenty minutes and last twenty minutes of the movie and see how someone tries to navigate a connection between the endpoints.91/100"
8,9,"""It's so metaphorical"" is what Kevin says when they show him Da-Song's paint, he makes a statement without knowing absolutely nothing about what he is talking about, most critics of this movie say exactly that ""It's so metaphorical"" obviously Most know what you are talking about, when writing something about a movie I have to be 100% sure that I have understood.""It's so metaphorical"" This comment on this movie is quite fair and precise; Parasite is built on the basis of visual symbolism that for some it will be an easy task to find them and for others a little more difficult because it also does not put this type of visual metaphors in the foreground, sometimes leaves it to the public's interpretation and in others simply play with the camera and film techniques to tell us the story, a clear example is the first time Kevin visits the Park house, the house is shown in a low-angle shot from the ground showing the superiority of the house and the environment over the character, the rain scene in the middle of the movie is simply wonderful: the family plummets to its miserable reality and the camera descends in a peculiar way, as there are many examples throughout the film; the fight over the cell phone in the Park house looks like an animal fight, the shots in the Kim's house are closed and in the immense Park house they are open and wide, a lot of voyeuristic Hitchcokian shots and provocateurs of vertigo, the symbolic use of the stairs throughout the film, something quite coherent since the film speaks especially about the socioeconomic classes and the social and race stairs, are some simply steps over others. Who are the real Parasites? the Kims or the Parks? the film plays with this question and leaves the answer to the interpretation, the Kim who represent the great majority of the poor class in Korea and in the world act as parasites that will gradually owe the class that is above them, taking advantage of the comforts that it offers them without any difficulty, living under the ground and in precarious conditions, but on the other hand the Park are practically useless beings, there is nothing they can do: their children are educated by others, their clothes are ironed and washed by others and their food is made by others.Kim's family at least shows that Kevin is good at Languages, even better than many college students, his sister has great skills that lead her to create the perfect plan, even she manages to do what no sophisticated teacher did; control and support Da-Song, but due to their poverty their hopes that they can take advantage of this kind of talent are minimal. The final shot of the movie plays with us and gives the perfect blow to culminate this story: Kevin writes a letter to his dad that he probably won't be able to read, while he has a dream, after the dream the shot is the same that of the beginning, he It shows the exterior of the house from the basement this time without sun, showing that he it is where it began and that now its life is dark and empty of hopes."
9,5,"I didn't think this film was particular good it's not as smart as it thinks it is, the infiltration of the house was unrealistic and the so called twist was predictable. The oscars have no credibility these days."
10,9,"Parasite: A con-artist family preys on an upper-class couple and their children. That's the bare bones of this film but it is a multi-layered black comedy thriller which heaps the satire on with a trowel but never falters as the brilliant script and direction by Bong Joon-ho keeps things going at a brisk canter. A tale of class war as the condescension shown to the servants is all too obvious, there is a line which must never be crossed by the hired help. The way the Kim family inveigle their way into the wealthy Park's home is a joy to observe. First the son as an English tutor then the daughter as an art therapist followed by the father and mother as chauffeur and housekeeper, the existing servants just cast aside. Something odd then happens which would be a spoiler if revealed but it alters the tone of the film. Things proceed towards a dark climax which ventures into the area of quotidian horror. Another masterpiece by Bong Joon-ho which he (partially) based on his own experiences as a maths tutor to the son of a well off family. 9/10."
11,9,"Bong Joon Ho directed one of my favorite movies of 2017, Okja, and has done it again in 2019 with Parasite. A working class family worms their way into the lives of a wealthy family with unexpected results. Ho has written a sardonic satire which loses nothing in translation from Korean to English. Koreans, like we American counterparts, have a 99% and a 1% who look down on the rest of us with disdain. The script is right on point and the entire cast is excellent. Easily one of the ten best films of 2020."
12,8,"The Oscar fever has started and it is my favourite time of the year where I get to watch the films which is engaging, clap-worthy, entertaining and relatable.
Parasite was already in buzz for sometime which caught my attention and to my surprise turned out to better than expected after seeing it.Parasite tells the story of differences in the mindset between the Upper class and Lower class families which is very much existing in our society.
As the name of the film itself, the movie gives a detailed account of how an unemployed family is influenced by the lifestyle of a wealthy rich family and eventually enters into their house
only to get the shock of their life.Directed by Bong Joon Ho, who made Snowpiercer and Okja, Parasite boast off characters which you can easily relate to. A poverty driven family comprising of
a struggling father, Kim, and mother, tech savvy son and a careless sister - who goes the wrong path to enter the house of a rich family but ultimately face the consequences.
The film slowly and eventually picks up as each member from the poor family starts getting the job in the house of rich, by falsely accusing the old staffs. The main
drama unfolds when the rich guys go for a vacation and the Kim's family take over the house and celebrate their win. However, they meet with an unfortunate incident when one of the
old staff comes back which changes their plan completely. This is where the film kicks-off when the rich guys cut short their trip and plan to come back which leads
to series of uninvited events, leading to more excitement and thrills you never expected.If you go the wrong way, you have to face the consequence and that is what the director Bong Joon Ho showed in his film when Kim's loses one of his family member
and ultimately face the redemption. Hats of to Bong Joon Ho for creating a beautiful drama with relatable characters, humorous situations and a powerful storyline with a strong message.
There are couple of scenes which is executed brilliantly - when two staff families meet at the basement, the flood scene depicting the behavior of Kim's family - Kim picking
up in stuff, son grabbing his favourite stone and daughter lighting her cigeratte even though the house is in mess. The beauty of cinema lies in the story-telling
and this is where Parasite scores.Technically, Parasite has a wonderful background score with lovely cinematography. Editing is superb, though I felt few scenes could have been trimmed. Art direction
is brilliant while dialogues are outstanding. Performances wise - I felt all the actors played their part while but if I had to pick up, my favourite would be
Kang-ho Song, who plays the role of father of the unemployed family.Parasite is nail-biting and intense thriller that is going to give you goose bumps. Brilliant 4/5"
13,10,"Bong Joo Ho has been making ingenious social commentary for some time. That is not new. But this film reaches new heights, not through more extravagant plot but through a more naturalistic approach. As a result, the comedy, the stakes, and the insights here are at a different level. You care about the protagonists, and you feel the weight of their struggle. All the same ingredients are there (the social satire, the violence, the bizarre twists, the brilliant direction), but there's a new weight to this film. I don't think ""masterpiece"" is too strong, and I'm looking forward to watching it again some time soon."
14,9,"My Review- Parasite
My Rating 9/10I'm so glad I got to finally see Parasite today on the day it won 2 well deserved BAFTA British Academy Awards Best Movie not in The English Language and Best Original Screenplay for its writer/ director Bong Joon Ho.Parasite has already received numerous accolades, with six nominations at the 92nd Academy Awards, including Best Picture, Best Director and Best International Feature Film, making it the first South Korean film to receive Academy Award recognition. At the 77th Golden Globe Awards, the film won the award for Best Foreign Language Film. It received four nominations at the 73rd British Academy Film Awards. It also became the first non-English film to win the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture.The film's title ""Parasite"" was selected by Bong as it served a double meaning, which he had to convince the film's marketing group to use. Bong said ""Because the story is about the poor family infiltrating and creeping into the rich house, it seems very obvious that Parasite refers to the poor family, and I think that's why the marketing team was a little hesitant. But if you look at it the other way, you can say that rich family, they're also parasites in terms of labor. They can't even wash dishes, they can't drive themselves, so they leech off the poor family's labor. So both are parasites.""I read Director and script writer Bong Joon
is a great admirer of Alfred Hitchcock and I'm sure Hitch would praise this movie even the music score is reminiscent of Hitchcock films . The film makes several nods to Alfred Hitchcock throughout. Stairs are used as a motif, voyeurism is used as characters watch scenes through windows 14 times, and (most obviously) there is a brief glimpse of an out of place Alfred Hitchcock collection in the Park's home.
I thought it also reminded me of Quentin Tarantino in its dark comedy and there are some very funny moments especially in the first half of this unique and original film.Unfortunately I've only seen Parasite on DVD but I hope to see it again on a Cinema Screen soon.
It's a movie I want to watch again as it's as good as all the hype it's getting and what a journey! it takes the audience on.
Described as a Black Comedy Thriller as of 2/2/20 this film had grossed a Worldwide $163.3 million and was estimated to have cost $11 million to produce.Of course I don't know any of the actors but they're all terrific in their roles and as an ensemble cast one of the best this year .
